institute,quota,category,closing_rank,candidates_seen,state
ACS Medical College and Hospital,AIQ,EWS,23652,2,Tamil Nadu
ACS Medical College and Hospital,AIQ,General,23851,81,Tamil Nadu
ACS Medical College and Hospital,AIQ,OBC,23871,108,Tamil Nadu
ACS Medical College and Hospital,AIQ,SC,23786,15,Tamil Nadu
ACS Medical College and Hospital,AIQ,ST,23803,1,Tamil Nadu
ACSR Govt Medical College,AIQ,EWS,9104,2,Andhra Pradesh
ACSR Govt Medical College,AIQ,General,24418,9,Andhra Pradesh
ACSR Govt Medical College,AIQ,OBC,7293,9,Andhra Pradesh
ACSR Govt Medical College,AIQ,SC,11985,3,Andhra Pradesh
ACSR Govt Medical College,AIQ,ST,13830,2,Andhra Pradesh
AGARTALA GOVT. MEDICAL COLLEGE,AIQ,EWS,9499,2,Tripura
AGARTALA GOVT. MEDICAL COLLEGE,AIQ,General,26584,5,Tripura
AGARTALA GOVT. MEDICAL COLLEGE,AIQ,OBC,9107,8,Tripura
AGARTALA GOVT. MEDICAL COLLEGE,AIQ,SC,13411,3,Tripura
AGARTALA GOVT. MEDICAL COLLEGE,AIQ,ST,14016,2,Tripura
AIIMS,AIQ,EWS,4573,148,Uttar Pradesh
AIIMS,AIQ,General,26509,569,Uttar Pradesh
AIIMS,AIQ,OBC,3743,439,Uttar Pradesh
AIIMS,AIQ,SC,10342,206,Uttar Pradesh
AIIMS,AIQ,ST,11562,105,Uttar Pradesh
AIIMS Bathinda,AIQ,EWS,2677,10,Punjab
AIIMS Bathinda,AIQ,General,23179,25,Punjab
AIIMS Bathinda,AIQ,OBC,2166,38,Punjab
AIIMS Bathinda,AIQ,SC,8859,14,Punjab
AIIMS Bathinda,AIQ,ST,10515,7,Punjab
AIIMS Bilaspur Changar Palasiyan,AIQ,EWS,3127,10,Himachal Pradesh
AIIMS Bilaspur Changar Palasiyan,AIQ,General,19425,34,Himachal Pradesh
AIIMS Bilaspur Changar Palasiyan,AIQ,OBC,2643,29,Himachal Pradesh
AIIMS Bilaspur Changar Palasiyan,AIQ,SC,9196,14,Himachal Pradesh
AIIMS Bilaspur Changar Palasiyan,AIQ,ST,10825,8,Himachal Pradesh
AIIMS Guwahati,AIQ,EWS,4066,9,Assam
AIIMS Guwahati,AIQ,General,25528,40,Assam
AIIMS Guwahati,AIQ,OBC,3411,27,Assam
AIIMS Guwahati,AIQ,SC,10088,14,Assam
AIIMS Guwahati,AIQ,ST,11525,6,Assam
AIIMS Jammu,AIQ,EWS,3733,8,Jammu and Kashmir
AIIMS Jammu,AIQ,General,25755,38,Jammu and Kashmir
AIIMS Jammu,AIQ,OBC,3426,28,Jammu and Kashmir
AIIMS Jammu,AIQ,SC,10216,14,Jammu and Kashmir
AIIMS Jammu,AIQ,ST,10957,6,Jammu and Kashmir
AIIMS Mangalagiri,AIQ,EWS,3590,12,Andhra Pradesh
AIIMS Mangalagiri,AIQ,General,24441,45,Andhra Pradesh
AIIMS Mangalagiri,AIQ,OBC,2290,34,Andhra Pradesh
AIIMS Mangalagiri,AIQ,SC,7814,17,Andhra Pradesh
AIIMS Mangalagiri,AIQ,ST,10105,10,Andhra Pradesh
AIIMS Rajkot,AIQ,EWS,2848,8,Gujarat
AIIMS Rajkot,AIQ,General,20774,26,Gujarat
AIIMS Rajkot,AIQ,OBC,2676,21,Gujarat
AIIMS Rajkot,AIQ,SC,9335,10,Gujarat
AIIMS Rajkot,AIQ,ST,10771,5,Gujarat
AIIMS-Bhopal,AIQ,EWS,1504,13,Madhya Pradesh
AIIMS-Bhopal,AIQ,General,24514,45,Madhya Pradesh
AIIMS-Bhopal,AIQ,OBC,1106,36,Madhya Pradesh
AIIMS-Bhopal,AIQ,SC,4811,18,Madhya Pradesh
AIIMS-Bhopal,AIQ,ST,6561,8,Madhya Pradesh
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,AIQ,EWS,6362,1,Bihar
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,AIQ,General,24653,5,Bihar
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,AIQ,OBC,6565,8,Bihar
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,AIQ,SC,12532,3,Bihar
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,AIQ,ST,13401,1,Bihar
ASSAM MEDICAL COLLEGE,AIQ,EWS,8038,3,Assam
ASSAM MEDICAL COLLEGE,AIQ,General,6507,10,Assam
ASSAM MEDICAL COLLEGE,AIQ,OBC,7631,10,Assam
ASSAM MEDICAL COLLEGE,AIQ,SC,12575,4,Assam
ASSAM MEDICAL COLLEGE,AIQ,ST,12104,2,Assam
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,AIQ,EWS,6186,1,Madhya Pradesh
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,AIQ,General,24437,13,Madhya Pradesh
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,AIQ,OBC,5957,6,Madhya Pradesh
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,AIQ,SC,11467,3,Madhya Pradesh
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,AIQ,ST,12458,1,Madhya Pradesh
Aarupadai Veedu Medical College and Hospt.,AIQ,EWS,12734,1,Puducherry
Aarupadai Veedu Medical College and Hospt.,AIQ,General,23948,61,Puducherry
Aarupadai Veedu Medical College and Hospt.,AIQ,OBC,23963,67,Puducherry
Aarupadai Veedu Medical College and Hospt.,AIQ,SC,23950,16,Puducherry
Aarupadai Veedu Medical College and Hospt.,AIQ,ST,22795,1,Puducherry
Allotted( CW Rank : 1 ),AIQ,General,26484,1,
Allotted( CW Rank : 10 ),AIQ,General,14607,1,
Allotted( CW Rank : 11 ),AIQ,General,15150,1,
Allotted( CW Rank : 12 ),AIQ,General,15437,1,
Allotted( CW Rank : 13 ),AIQ,General,15800,1,
Allotted( CW Rank : 132 ),AIQ,General,13041,1,
Allotted( CW Rank : 14 ),AIQ,General,16357,1,
Allotted( CW Rank : 149 ),AIQ,General,14756,1,
Allotted( CW Rank : 163 ),AIQ,General,16222,1,
Allotted( CW Rank : 17 ),AIQ,General,20799,1,
Allotted( CW Rank : 171 ),AIQ,General,17508,1,
Allotted( CW Rank : 174 ),AIQ,General,18133,1,
Allotted( CW Rank : 178 ),AIQ,General,18755,1,
Allotted( CW Rank : 18 ),AIQ,General,22507,1,
Allotted( CW Rank : 19 ),AIQ,General,22521,1,
Allotted( CW Rank : 193 ),AIQ,General,21356,1,
Allotted( CW Rank : 194 ),AIQ,General,21449,1,
Allotted( CW Rank : 20 ),AIQ,General,23869,1,
Allotted( CW Rank : 204 ),AIQ,General,24076,1,
Allotted( CW Rank : 207 ),AIQ,General,24927,1,
Allotted( CW Rank : 21 ),AIQ,General,23902,1,
Allotted( CW Rank : 22 ),AIQ,General,24201,1,
Allotted( CW Rank : 23 ),AIQ,General,24800,1,
Allotted( CW Rank : 24 ),AIQ,General,25346,1,
Allotted( CW Rank : 27 ),AIQ,General,25942,1,
Allotted( CW Rank : 274 ),AIQ,General,16001,1,
Allotted( CW Rank : 282 ),AIQ,General,17605,1,
Allotted( CW Rank : 283 ),AIQ,General,17810,1,
Allotted( CW Rank : 29 ),AIQ,General,26289,1,
Allotted( CW Rank : 290 ),AIQ,General,18737,1,
Allotted( CW Rank : 293 ),AIQ,General,20087,1,
Allotted( CW Rank : 3 ),AIQ,General,17656,1,
Allotted( CW Rank : 302 ),AIQ,General,23978,1,
Allotted( CW Rank : 305 ),AIQ,General,25705,1,
Allotted( CW Rank : 33 ),AIQ,General,22125,1,
Allotted( CW Rank : 4 ),AIQ,General,18205,1,
Allotted( CW Rank : 58 ),AIQ,General,4231,1,
Allotted( CW Rank : 7 ),AIQ,General,9490,1,
Allotted( CW Rank : 70 ),AIQ,General,6720,1,
Allotted( CW Rank : 72 ),AIQ,General,7366,1,
Allotted( CW Rank : 73 ),AIQ,General,7523,1,
Allotted( CW Rank : 8 ),AIQ,General,12318,1,
Allotted( CW Rank : 9 ),AIQ,General,12852,1,
Allotted( NRI Priority : 1 ),AIQ,General,26593,287,
Allotted( NRI Priority : 2 ),AIQ,General,26605,249,
Amrita Institute of Medical Science,AIQ,EWS,16791,1,Kerala
Amrita Institute of Medical Science,AIQ,General,17273,80,Kerala
Amrita Institute of Medical Science,AIQ,OBC,17140,36,Kerala
Amrita School of Medicine Faridabad,AIQ,General,18406,118,Haryana
Amrita School of Medicine Faridabad,AIQ,OBC,18370,6,Haryana
Amrita School of Medicine Faridabad,AIQ,SC,18250,2,Haryana
Andaman and Nicobar Islands Institute of Medical S,AIQ,EWS,9370,2,Andaman and Nicobar Islands
Andaman and Nicobar Islands Institute of Medical S,AIQ,General,6668,5,Andaman and Nicobar Islands
Andaman and Nicobar Islands Institute of Medical S,AIQ,OBC,9021,5,Andaman and Nicobar Islands
Andaman and Nicobar Islands Institute of Medical S,AIQ,SC,13549,3,Andaman and Nicobar Islands
Andaman and Nicobar Islands Institute of Medical S,AIQ,ST,14275,2,Andaman and Nicobar Islands
Andhra Medical College,AIQ,EWS,4836,4,Andhra Pradesh
Andhra Medical College,AIQ,General,3278,11,Andhra Pradesh
Andhra Medical College,AIQ,OBC,3974,14,Andhra Pradesh
Andhra Medical College,AIQ,SC,10810,5,Andhra Pradesh
Andhra Medical College,AIQ,ST,11640,2,Andhra Pradesh
Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL,AIQ,EWS,4051,10,Bihar
Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL,AIQ,General,26487,35,Bihar
Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL,AIQ,OBC,4708,26,Bihar
Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL,AIQ,SC,11653,14,Bihar
Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL,AIQ,ST,14587,7,Bihar
Autonomous State Medical Collage,AIQ,EWS,7768,1,Uttar Pradesh
Autonomous State Medical Collage,AIQ,General,6921,3,Uttar Pradesh
Autonomous State Medical Collage,AIQ,OBC,8028,8,Uttar Pradesh
Autonomous State Medical Collage,AIQ,SC,12517,2,Uttar Pradesh
Autonomous State Medical College,AIQ,EWS,8667,21,Uttar Pradesh
Autonomous State Medical College,AIQ,General,25699,46,Uttar Pradesh
Autonomous State Medical College,AIQ,OBC,8453,63,Uttar Pradesh
Autonomous State Medical College,AIQ,SC,13171,26,Uttar Pradesh
Autonomous State Medical College,AIQ,ST,13966,13,Uttar Pradesh
Autonomous State Medical College Society,AIQ,EWS,8285,2,Uttar Pradesh
Autonomous State Medical College Society,AIQ,General,26307,6,Uttar Pradesh
Autonomous State Medical College Society,AIQ,OBC,7848,4,Uttar Pradesh
Autonomous State Medical College Society,AIQ,SC,12932,1,Uttar Pradesh
Autonomous State Medical College Society,AIQ,ST,13807,1,Uttar Pradesh
Autonomous State Medical college Society Hardoi,AIQ,EWS,7437,1,Uttar Pradesh
Autonomous State Medical college Society Hardoi,AIQ,General,7410,7,Uttar Pradesh
Autonomous State Medical college Society Hardoi,AIQ,OBC,7845,4,Uttar Pradesh
Autonomous State Medical college Society Hardoi,AIQ,SC,12846,2,Uttar Pradesh
Autonomous State Medical college Society Hardoi,AIQ,ST,13691,1,Uttar Pradesh
Autonomous state Medical College,AIQ,EWS,8329,2,Uttar Pradesh
Autonomous state Medical College,AIQ,General,26583,11,Uttar Pradesh
Autonomous state Medical College,AIQ,OBC,8407,11,Uttar Pradesh
Autonomous state Medical College,AIQ,SC,13078,3,Uttar Pradesh
Autonomous state Medical College,AIQ,ST,13964,1,Uttar Pradesh
B.J. Government Medical College,AIQ,EWS,4120,3,Maharashtra
B.J. Government Medical College,AIQ,General,24548,14,Maharashtra
B.J. Government Medical College,AIQ,OBC,3730,10,Maharashtra
B.J. Government Medical College,AIQ,SC,9448,5,Maharashtra
B.J. Government Medical College,AIQ,ST,11832,2,Maharashtra
B.J. MEDICAL COLLEGE,AIQ,EWS,2418,4,Gujarat
B.J. MEDICAL COLLEGE,AIQ,General,17557,14,Gujarat
B.J. MEDICAL COLLEGE,AIQ,OBC,2747,9,Gujarat
B.J. MEDICAL COLLEGE,AIQ,SC,8094,7,Gujarat
B.J. MEDICAL COLLEGE,AIQ,ST,11564,3,Gujarat
B.L.D.E University,AIQ,EWS,16568,4,Karnataka
B.L.D.E University,AIQ,General,16597,105,Karnataka
B.L.D.E University,AIQ,OBC,16579,46,Karnataka
B.L.D.E University,AIQ,SC,16556,3,Karnataka
B.R.D. MEDICAL COLLEGE,AIQ,EWS,5093,2,Uttar Pradesh
B.R.D. MEDICAL COLLEGE,AIQ,General,4399,8,Uttar Pradesh
B.R.D. MEDICAL COLLEGE,AIQ,OBC,4983,7,Uttar Pradesh
B.R.D. MEDICAL COLLEGE,AIQ,SC,11375,3,Uttar Pradesh
B.R.D. MEDICAL COLLEGE,AIQ,ST,12204,2,Uttar Pradesh
B.Sc. Nursing,AIQ,EWS,16352,56,
B.Sc. Nursing,AIQ,General,26604,93,
B.Sc. Nursing,AIQ,OBC,15628,194,
B.Sc. Nursing,AIQ,SC,19619,72,
B.Sc. Nursing,AIQ,ST,26025,31,
BANKURA SAMMILANI MED COLL,AIQ,EWS,8043,3,West Bengal
BANKURA SAMMILANI MED COLL,AIQ,General,25742,12,West Bengal
BANKURA SAMMILANI MED COLL,AIQ,OBC,7343,7,West Bengal
BANKURA SAMMILANI MED COLL,AIQ,SC,12462,4,West Bengal
BANKURA SAMMILANI MED COLL,AIQ,ST,13981,3,West Bengal
BELGAUM INST. OF MEDICAL SCI.,AIQ,EWS,6842,1,Karnataka
BELGAUM INST. OF MEDICAL SCI.,AIQ,General,25933,9,Karnataka
BELGAUM INST. OF MEDICAL SCI.,AIQ,OBC,6318,6,Karnataka
BELGAUM INST. OF MEDICAL SCI.,AIQ,SC,12326,3,Karnataka
BELGAUM INST. OF MEDICAL SCI.,AIQ,ST,11943,1,Karnataka
BHAARATH MEDICAL COLLEGE AND HOSPITAL,AIQ,EWS,24275,1,Tamil Nadu
BHAARATH MEDICAL COLLEGE AND HOSPITAL,AIQ,General,24741,59,Tamil Nadu
BHAARATH MEDICAL COLLEGE AND HOSPITAL,AIQ,OBC,24738,72,Tamil Nadu
BHAARATH MEDICAL COLLEGE AND HOSPITAL,AIQ,SC,24757,15,Tamil Nadu
BHAARATH MEDICAL COLLEGE AND HOSPITAL,AIQ,ST,24427,2,Tamil Nadu
BIDAR INSTITUTE OF MEDICAL SCI.,AIQ,EWS,8758,2,Karnataka
BIDAR INSTITUTE OF MEDICAL SCI.,AIQ,General,6621,7,Karnataka
BIDAR INSTITUTE OF MEDICAL SCI.,AIQ,OBC,7408,6,Karnataka
BIDAR INSTITUTE OF MEDICAL SCI.,AIQ,SC,12681,3,Karnataka
BIDAR INSTITUTE OF MEDICAL SCI.,AIQ,ST,13149,2,Karnataka
BPS Govt. Med. College,AIQ,EWS,6572,2,Haryana
BPS Govt. Med. College,AIQ,General,4976,6,Haryana
BPS Govt. Med. College,AIQ,OBC,5900,5,Haryana
BPS Govt. Med. College,AIQ,SC,12269,3,Haryana
BPS Govt. Med. College,AIQ,ST,13233,1,Haryana
BUNDELKHAND MEDICAL COLLEGE,AIQ,EWS,6847,3,
BUNDELKHAND MEDICAL COLLEGE,AIQ,General,5813,5,
BUNDELKHAND MEDICAL COLLEGE,AIQ,OBC,6250,6,
BUNDELKHAND MEDICAL COLLEGE,AIQ,SC,12182,3,
BUNDELKHAND MEDICAL COLLEGE,AIQ,ST,13198,2,
BURDWAN MEDICAL COLLEGE,AIQ,EWS,6863,3,West Bengal
BURDWAN MEDICAL COLLEGE,AIQ,General,5956,6,West Bengal
BURDWAN MEDICAL COLLEGE,AIQ,OBC,6780,11,West Bengal
BURDWAN MEDICAL COLLEGE,AIQ,SC,12019,5,West Bengal
BURDWAN MEDICAL COLLEGE,AIQ,ST,13482,2,West Bengal
BV Deemed Uni. Med. College and Hos.,AIQ,EWS,21626,12,Maharashtra
BV Deemed Uni. Med. College and Hos.,AIQ,General,21675,73,Maharashtra
BV Deemed Uni. Med. College and Hos.,AIQ,OBC,21676,33,Maharashtra
BV Deemed Uni. Med. College and Hos.,AIQ,SC,21643,6,Maharashtra
BV Deemed Uni. Med. College and Hos.,AIQ,ST,21172,2,Maharashtra
Baba Kinaram Autonomous State Medical College,AIQ,EWS,8587,2,Uttar Pradesh
Baba Kinaram Autonomous State Medical College,AIQ,General,25713,4,Uttar Pradesh
Baba Kinaram Autonomous State Medical College,AIQ,OBC,8448,5,Uttar Pradesh
Baba Kinaram Autonomous State Medical College,AIQ,SC,13113,2,Uttar Pradesh
Baba Kinaram Autonomous State Medical College,AIQ,ST,14124,1,Uttar Pradesh
Bangalore Medical College and Research Institute,AIQ,EWS,3676,4,Karnataka
Bangalore Medical College and Research Institute,AIQ,General,23521,14,Karnataka
Bangalore Medical College and Research Institute,AIQ,OBC,2708,10,Karnataka
Bangalore Medical College and Research Institute,AIQ,SC,9567,5,Karnataka
Bangalore Medical College and Research Institute,AIQ,ST,10789,3,Karnataka
Barasat Government Medical College & Hospital,AIQ,EWS,8751,2,West Bengal
Barasat Government Medical College & Hospital,AIQ,General,7039,3,West Bengal
Barasat Government Medical College & Hospital,AIQ,OBC,8202,5,West Bengal
Barasat Government Medical College & Hospital,AIQ,SC,12235,2,West Bengal
Barasat Government Medical College & Hospital,AIQ,ST,13982,1,West Bengal
Bharati Vidyapeeth DU Medical College,AIQ,EWS,19038,2,Maharashtra
Bharati Vidyapeeth DU Medical College,AIQ,General,20359,106,Maharashtra
Bharati Vidyapeeth DU Medical College,AIQ,OBC,20177,11,Maharashtra
Bharati Vidyapeeth DU Medical College,AIQ,SC,19451,5,Maharashtra
Bhima Bhoi Medical College and Hospital,AIQ,EWS,9160,2,Odisha
Bhima Bhoi Medical College and Hospital,AIQ,General,6806,4,Odisha
Bhima Bhoi Medical College and Hospital,AIQ,OBC,8047,6,Odisha
Bhima Bhoi Medical College and Hospital,AIQ,SC,11760,2,Odisha
Bhima Bhoi Medical College and Hospital,AIQ,ST,14350,1,Odisha
C. Institute of Medical Sciences,AIQ,EWS,9438,3,Karnataka
C. Institute of Medical Sciences,AIQ,General,26028,9,Karnataka
C. Institute of Medical Sciences,AIQ,OBC,7883,7,Karnataka
C. Institute of Medical Sciences,AIQ,SC,12771,3,Karnataka
C. Institute of Medical Sciences,AIQ,ST,13546,1,Karnataka
CALCUTTA NATIONAL MED COLL,AIQ,EWS,5725,4,West Bengal
CALCUTTA NATIONAL MED COLL,AIQ,General,23947,10,West Bengal
CALCUTTA NATIONAL MED COLL,AIQ,OBC,5281,14,West Bengal
CALCUTTA NATIONAL MED COLL,AIQ,SC,11024,5,West Bengal
CALCUTTA NATIONAL MED COLL,AIQ,ST,12895,3,West Bengal
CHENGALPATTU MEDICAL COLL,AIQ,EWS,8263,1,Tamil Nadu
CHENGALPATTU MEDICAL COLL,AIQ,General,3248,4,Tamil Nadu
CHENGALPATTU MEDICAL COLL,AIQ,OBC,3515,6,Tamil Nadu
CHENGALPATTU MEDICAL COLL,AIQ,SC,9234,1,Tamil Nadu
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,AIQ,EWS,6483,2,Chhattisgarh
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,AIQ,General,5843,8,Chhattisgarh
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,AIQ,OBC,6501,7,Chhattisgarh
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,AIQ,SC,12147,3,Chhattisgarh
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,AIQ,ST,13315,1,Chhattisgarh
CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES,AIQ,EWS,9410,1,Karnataka
CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES,AIQ,General,6839,4,Karnataka
CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES,AIQ,OBC,7578,5,Karnataka
CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES,AIQ,SC,12923,3,Karnataka
CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES,AIQ,ST,13804,1,Karnataka
COIMBATORE MEDICAL COLLEGE,AIQ,EWS,7884,2,Tamil Nadu
COIMBATORE MEDICAL COLLEGE,AIQ,General,22814,7,Tamil Nadu
COIMBATORE MEDICAL COLLEGE,AIQ,OBC,3246,13,Tamil Nadu
COIMBATORE MEDICAL COLLEGE,AIQ,SC,9594,4,Tamil Nadu
COIMBATORE MEDICAL COLLEGE,AIQ,ST,13506,3,Tamil Nadu
COLLEGE OF MEDICINE and JNM HOSPITAL,AIQ,EWS,6768,1,West Bengal
COLLEGE OF MEDICINE and JNM HOSPITAL,AIQ,General,26569,6,West Bengal
COLLEGE OF MEDICINE and JNM HOSPITAL,AIQ,OBC,6961,6,West Bengal
COLLEGE OF MEDICINE and JNM HOSPITAL,AIQ,SC,12139,2,West Bengal
Chandulal Chandrakar Memorial Government Medical College,AIQ,EWS,9000,3,Chhattisgarh
Chandulal Chandrakar Memorial Government Medical College,AIQ,General,25760,9,Chhattisgarh
Chandulal Chandrakar Memorial Government Medical College,AIQ,OBC,8527,10,Chhattisgarh
Chandulal Chandrakar Memorial Government Medical College,AIQ,SC,13312,5,Chhattisgarh
Chandulal Chandrakar Memorial Government Medical College,AIQ,ST,14177,3,Chhattisgarh
Chettinad Hos. and Res. Inst.,AIQ,EWS,18883,1,Tamil Nadu
Chettinad Hos. and Res. Inst.,AIQ,General,24047,104,Tamil Nadu
Chettinad Hos. and Res. Inst.,AIQ,OBC,24051,125,Tamil Nadu
Chettinad Hos. and Res. Inst.,AIQ,SC,24020,9,Tamil Nadu
Chettinad Hos. and Res. Inst.,AIQ,ST,23146,2,Tamil Nadu
Chhindwara Institute of Medical Sciences,AIQ,EWS,7647,2,Madhya Pradesh
Chhindwara Institute of Medical Sciences,AIQ,General,7026,5,Madhya Pradesh
Chhindwara Institute of Medical Sciences,AIQ,OBC,7385,5,Madhya Pradesh
Chhindwara Institute of Medical Sciences,AIQ,SC,12888,2,Madhya Pradesh
Chhindwara Institute of Medical Sciences,AIQ,ST,13283,1,Madhya Pradesh
Chikkamagaluru Institute of Medical Sciences,AIQ,EWS,9505,3,Karnataka
Chikkamagaluru Institute of Medical Sciences,AIQ,General,7952,8,Karnataka
Chikkamagaluru Institute of Medical Sciences,AIQ,OBC,8111,7,Karnataka
Chikkamagaluru Institute of Medical Sciences,AIQ,SC,13358,3,Karnataka
Chikkamagaluru Institute of Medical Sciences,AIQ,ST,14191,2,Karnataka
Chitradurga Medical College and Research Institute,AIQ,EWS,9446,2,Karnataka
Chitradurga Medical College and Research Institute,AIQ,General,8072,7,Karnataka
Chitradurga Medical College and Research Institute,AIQ,OBC,8307,7,Karnataka
Chitradurga Medical College and Research Institute,AIQ,SC,13447,3,Karnataka
Chitradurga Medical College and Research Institute,AIQ,ST,14210,1,Karnataka
College Government Medical College Alwar,AIQ,EWS,5681,1,Rajasthan
College Government Medical College Alwar,AIQ,General,4823,3,Rajasthan
College Government Medical College Alwar,AIQ,OBC,5621,7,Rajasthan
College Government Medical College Alwar,AIQ,SC,11368,2,Rajasthan
College Government Medical College Alwar,AIQ,ST,12172,1,Rajasthan
DATTA MEGHE MEDICAL COLLEGE WANADONGRI HINGNA NAGPUR,AIQ,EWS,20753,7,Maharashtra
DATTA MEGHE MEDICAL COLLEGE WANADONGRI HINGNA NAGPUR,AIQ,General,20814,62,Maharashtra
DATTA MEGHE MEDICAL COLLEGE WANADONGRI HINGNA NAGPUR,AIQ,OBC,20793,46,Maharashtra
DATTA MEGHE MEDICAL COLLEGE WANADONGRI HINGNA NAGPUR,AIQ,SC,20645,7,Maharashtra
DATTA MEGHE MEDICAL COLLEGE WANADONGRI HINGNA NAGPUR,AIQ,ST,19065,1,Maharashtra
DR. VAISHAMPAYAM MEMORIAL M.C.,AIQ,EWS,6771,4,Maharashtra
DR. VAISHAMPAYAM MEMORIAL M.C.,AIQ,General,6045,11,Maharashtra
DR. VAISHAMPAYAM MEMORIAL M.C.,AIQ,OBC,6615,9,Maharashtra
DR. VAISHAMPAYAM MEMORIAL M.C.,AIQ,SC,12371,3,Maharashtra
DR. VAISHAMPAYAM MEMORIAL M.C.,AIQ,ST,13478,2,Maharashtra
DR.RAJENDRA PRASAD MC,AIQ,EWS,3811,1,Himachal Pradesh
DR.RAJENDRA PRASAD MC,AIQ,General,26305,7,Himachal Pradesh
DR.RAJENDRA PRASAD MC,AIQ,OBC,4232,6,Himachal Pradesh
DR.RAJENDRA PRASAD MC,AIQ,SC,10701,2,Himachal Pradesh
DR.RAJENDRA PRASAD MC,AIQ,ST,11374,1,Himachal Pradesh
DR.S.C.GOVT MEDICAL COLLEGE,AIQ,General,20362,6,Maharashtra
DR.S.C.GOVT MEDICAL COLLEGE,AIQ,OBC,6951,7,Maharashtra
DR.S.C.GOVT MEDICAL COLLEGE,AIQ,SC,12487,4,Maharashtra
DR.S.C.GOVT MEDICAL COLLEGE,AIQ,ST,13644,2,Maharashtra
DR.S.N. MEDICAL COLLEGE,AIQ,EWS,3898,3,Rajasthan
DR.S.N. MEDICAL COLLEGE,AIQ,General,25312,12,Rajasthan
DR.S.N. MEDICAL COLLEGE,AIQ,OBC,3317,12,Rajasthan
DR.S.N. MEDICAL COLLEGE,AIQ,SC,10319,6,Rajasthan
DR.S.N. MEDICAL COLLEGE,AIQ,ST,11262,3,Rajasthan
Darbhanga Medical College,AIQ,EWS,5570,2,Bihar
Darbhanga Medical College,AIQ,General,5129,4,Bihar
Darbhanga Medical College,AIQ,OBC,5536,7,Bihar
Darbhanga Medical College,AIQ,SC,11912,3,Bihar
Darbhanga Medical College,AIQ,ST,13225,1,Bihar
Deben Mahata Government Medical College & Hospital,AIQ,EWS,8949,1,West Bengal
Deben Mahata Government Medical College & Hospital,AIQ,General,23161,6,West Bengal
Deben Mahata Government Medical College & Hospital,AIQ,OBC,8943,4,West Bengal
Deben Mahata Government Medical College & Hospital,AIQ,SC,13075,2,West Bengal
Deben Mahata Government Medical College & Hospital,AIQ,ST,14346,1,West Bengal
Dhubri Medical College,AIQ,EWS,9476,2,Assam
Dhubri Medical College,AIQ,General,26595,5,Assam
Dhubri Medical College,AIQ,OBC,9222,4,Assam
Dhubri Medical College,AIQ,SC,13529,2,Assam
Dhubri Medical College,AIQ,ST,14405,1,Assam
Diamond Harbour Govt Medical College,AIQ,EWS,6684,3,West Bengal
Diamond Harbour Govt Medical College,AIQ,General,25131,3,West Bengal
Diamond Harbour Govt Medical College,AIQ,OBC,6785,4,West Bengal
Diamond Harbour Govt Medical College,AIQ,SC,12521,3,West Bengal
Diamond Harbour Govt Medical College,AIQ,ST,13716,2,West Bengal
Diphu Medical College & Hospital,AIQ,EWS,9452,2,Assam
Diphu Medical College & Hospital,AIQ,General,9151,3,Assam
Diphu Medical College & Hospital,AIQ,OBC,9216,5,Assam
Diphu Medical College & Hospital,AIQ,SC,13373,2,Assam
Diphu Medical College & Hospital,AIQ,ST,13993,1,Assam
Dr Ram Manohar Lohia Inst. of Med. Sce.,AIQ,EWS,3235,2,Uttar Pradesh
Dr Ram Manohar Lohia Inst. of Med. Sce.,AIQ,General,2919,11,Uttar Pradesh
Dr Ram Manohar Lohia Inst. of Med. Sce.,AIQ,OBC,3542,7,Uttar Pradesh
Dr Ram Manohar Lohia Inst. of Med. Sce.,AIQ,SC,10183,5,Uttar Pradesh
Dr Ram Manohar Lohia Inst. of Med. Sce.,AIQ,ST,11597,3,Uttar Pradesh
